S1	Analyses des données numériques: La collecte et l’analyse de données numériques.
S3	Recherche de renseignements: L’utilisation de diverses sources, notamment des textes écrits, des gens, des bases de données informatisées et des systèmes d’information. (Voir aussi les compétences énumérées ci-dessus, à savoir la lecture des textes, l’utilisation des documents, l’informatique et la communication verbale).
-> L1	Consulter des sources établies (p. ex., bottin, horaire des avions, manuel d’utilisation d’un logiciel, ligne téléphonique de renseignements), qui sont fournies à l’employé; Utiliser les renseignements uniquement comme ils sont fournis (p. ex., numéros de téléphone, heures des vols, instructions d’un progiciel de traitement de texte)
-> L2	Repérer et consulter des sources qui sont faciles à trouver (p. ex., superviseur, collègues, brochures, sites Web); Sélectionner des renseignements en fonction de critères établis (p. ex., dresser une liste de livres, communiquer avec des fournisseurs pour obtenir des renseignements)
-> L3	Effectuer une recherche pour trouver des renseignements précis (p. ex., localiser les témoins d’un crime, prélever des échantillons pour des tests sur l’environnement, dépouiller des articles scientifiques); Analyser et utiliser les renseignements recueillis (p. ex., renseignements tirés de manuels ou de tableaux, renseignements recueillis auprès de personnes blessées au sujet de leurs antécédents médicaux et de leur état de santé actuel)
-> L4	Recueillir des renseignements de plusieurs sources différentes (p. ex., manuels techniques, cartes géographiques, règlements gouvernementaux) OU effectuer des travaux de recherche originaux (p. ex., mise au point d’un nouveau vaccin); Effectuer une analyse complexe ou une synthèse (p. ex., analyser des renseignements provenant de sources diverses) dans le but de trouver une solution à un problème

S4	Planification et organisation du travail: La planification et l’organisation de son propre travail.
-> L1	Effectuer des tâches dans un ordre établi; Effectuer des tâches qui sont rarement perturbées; Effectuer des tâches qui ne nécessitent pas de coordination avec le travail des autres
-> L2	Planifier et organiser son travail dans un cadre de travail limité; Effectuer des tâches selon la priorité accordée à diverses catégories de tâches par quelqu’un d’autre; Effectuer des tâches qui pourraient être perturbées, mais le plan de travail de la journée n’est pas modifié; Coordonner une partie de son travail avec celui des autres
-> L3	Planifier et organiser son travail selon des lignes directrices générales; Établir l’ordre dans lequel ses tâches seront effectuées, sous réserve de l’approbation du superviseur; Modifier l’ordre dans lequel ses tâches seront effectuées, ou replanifier l’ordre des tâches ou l’horaire des gens; Coordonner et intégrer son travail avec celui des autres
-> L4	Planifier et organiser son travail de façon autonome; Établir l’ordre dans lequel les tâches seront effectuées; Modifier fréquemment l’ordre des tâches, replanifier l’ordre des tâches ou l’horaire des gens, ou établir de nouvelles priorités; Créer et maintenir des liens avec le travail des autres

S5	Mesures et calculs: La mesure et le calcul des quantités, des aires, du volume et des distances.
-> L1	Prendre des mesures en une seule étape et noter les résultats; Mesurer des quantités; Régler des instruments à des angles particuliers et à d’autres constantes numériques
-> L2	Calculer l’aire et le volume de formes simples et familières; Faire la conversion entre des systèmes de mesure OU convertir des quantités en doublant, en réduisant de moitié, etc.
-> L3	Calculer l’aire d’une combinaison de formes simples et familières; Faire des dessins à l’échelle; Prendre des mesures précises à l’aide d’un équipement spécialisé;
-> L4	Calculer l’aire et le volume de formes complexes et irrégulières
-> L5	Faire des estimations et faire le calcul de mesures qui ne peuvent être prises directement.

S6	Computations monétaires: L’utilisation de compétences en mathématiques pour effectuer des transactions financières, telles que gérer de l’argent comptant, préparer des factures et faire des paiements.
-> L1	Entrer des montants sur une caisse enregistreuse; Déterminer le total de factures simples; Rendre la monnaie; Recevoir des paiements
-> L2	Effectuer des transactions d’argent comptant en devise étrangère; Calculer les prix en utilisant une formule (p. ex., prix courant moins un pourcentage spécifique pour un escompte); Déterminer le total de comptes ou de factures comprenant l’un des calculs suivants : escompte, taxe, intérêt
-> L3	Préparer les chèques de paie en calculant le taux de rémunération, les retenues, les primes ou autres facteurs; Déterminer le total de comptes ou de factures comprenant au moins deux des calculs suivants : escompte(s), taxe(s), intérêt
-> L4	Effectuer rapidement et avec exactitude des calculs mentaux qui incluent l’identification et l’utilisation de diverses opérations mathématiques
-> L5	Établir des prévisions quant aux prix (p. ex., des marchandises) en tenant compte de divers facteurs critiques qui doivent être estimés à partir du rendement antérieur et de l’extrapolation des tendances futures

S7	Calcul approximatif: La production d’estimations numériques.
-> L1	Fournir une estimation dans une situation où les erreurs peuvent être corrigées facilement et rapidement et à très peu de frais; Prendre en considération un seul facteur pour lequel on connaît tous les renseignements pertinents; Utiliser une formule et une méthode établies pour faire l’estimation
-> L2	Fournir une estimation dans une situation où les erreurs peuvent être corrigées mais non sans complication et sans frais; Prendre en considération uniquement quelques facteurs pour lesquels on connaît presque toutes les informations pertinentes; Utiliser une formule et une méthode établies pour faire l’estimation, tout en prenant d’autres facteurs en considération
-> L3	Fournir une estimation dans une situation où les erreurs ont des conséquences importantes mais peuvent être corrigées; Prendre en considération plusieurs facteurs pour lesquels quelques renseignements ne sont pas connus avec certitude; Utiliser une méthode qui a été conçue pour faire l’estimation (aucune formule disponible)
-> L4	Fournir une estimation dans une situation où les erreurs ont des conséquences importantes et ne peuvent pas être corrigées ou ne peuvent être corrigées qu’à grands frais; Prendre en considération plusieurs facteurs pour lesquels de nombreux renseignements ne sont pas connus; Élaborer une formule ou une méthode pour faire l’estimation

S8	Communication verbale: L’utilisation de la parole à diverses fins.
-> L1	Communiquer oralement de façon simple (p. ex., répondre à des demandes quotidiennes d’information, obtenir des renseignements spécifiques); Traiter des faits comprenant peu de détails; Communiquer, habituellement avec une personne à la fois, dans un contexte quotidien et prévisible, en utilisant un format et un style établis
-> L2	Communiquer oralement d’une façon qui est moyennement exigeante (p. ex., échanger de l’information détaillée, rassurer un client, expliquer les démarches); Traiter des faits moyennement complexes et détaillés ainsi que des opinions; Communiquer avec une ou plusieurs personnes à la fois dans un contexte quotidien et en grande partie prévisible (p. ex., dans un environnement familier), en utilisant une gamme de formats et de styles, et faire face à des conflits mineurs
-> L3	Communiquer oralement d’une façon qui est exigeante (p. ex., persuader, conseiller); Traiter des questions complexes et détaillées qui incluent des faits, des concepts et des opinions; Communiquer avec une ou plusieurs personnes à la fois dans des contextes parfois imprévisibles (p. ex., rencontres avec des inconnus), en utilisant une vaste gamme de formats et de styles, et faire face à des conflits le cas échéant
-> L4	Communiquer oralement d’une façon qui est très exigeante (p. ex., résoudre des problèmes complexes); Traiter des questions très complexes et détaillées en utilisant un langage conceptuel ou technique; Communiquer avec une ou plusieurs personnes à la fois dans des contextes très imprévisibles en adaptant une vaste gamme de formats et de styles pour qu’ils conviennent à la personne ou au groupe, et faire face à des conflits importants ou des points de vue différents (p. ex., diriger des négociations)

S9	Résolution de problèmes: L’identification et la résolution des problèmes.
-> L1	Faire face à des problèmes qui sont facilement identifiables et qui ont un nombre limité de facteurs; Choisir la solution prescrite pour un problème; Vérifier que le problème a été résolu
-> L2	Faire face à des problèmes qui sont de difficulté moyenne et qui ont plusieurs facteurs, clairement définis pour la plupart; Identifier le problème et choisir la solution la plus appropriée; Déterminer si la solution a permis de résoudre le problème
-> L3	Faire face à des problèmes difficiles qui ont une vaste gamme de facteurs, certains d’entre eux étant difficiles à définir; Choisir la meilleure méthode pour identifier le problème et modifier une solution établie, au besoin; Déterminer si la solution a permis de résoudre le problème et vérifier si une intervention supplémentaire est nécessaire
-> L4	Faire face à des problèmes très difficiles qui ont une vaste gamme de facteurs, certains d’entre eux étant imprévisibles ou en conflit avec d’autres facteurs; Élaborer la méthode pour identifier le problème et fournir une solution originale; Identifier les critères pour déterminer si la solution a permis de résoudre le problème, et évaluer la solution en fonction de ces critères

S10	Lecture des textes: La compréhension de textes composés de phrases et de paragraphes.
-> L1	Lire des textes assez courts et simples (p. ex., mémos, notes) afin de trouver un seul élément d’information; Suivre des directives écrites simples (p. ex., directives figurant sur un flacon)
-> L2	Lire des textes simples (p. ex., lettres, mémos) afin de trouver plusieurs éléments d’information; Lire des textes plus difficiles afin de trouver un seul élément d’information; Interpréter des éléments d’information simples tirés d’une seule source
-> L3	Choisir et intégrer divers éléments d’information tirés d’une source ou plusieurs sources (p. ex., rapports, manuels); Interpréter plusieurs éléments d’information simples tirés de plusieurs sources; Faire la distinction entre l’information pertinente et l’information non pertinente
-> L4	Intégrer et synthétiser les informations tirées de diverses sources ou de textes assez détaillés (p. ex., ouvrages de référence); Interpréter des textes complexes (p. ex., règlements)
-> L5	Synthétiser les informations tirées de diverses sources ou de textes très détaillés (p. ex., spécifications); Interpréter des textes très complexes, nécessitant des connaissances spécialisées (p. ex., revues professionnelles ou techniques)

S11	Calendriers des budgets et des opérations comptables: La planification pour une utilisation optimale du temps et de l’argent ainsi que la surveillance de l’utilisation du temps et de l’argent.
-> L1	Enregistrer les coûts en fonction des postes budgétaires; Surveiller les horaires ou les budgets et rendre compte des déficits ou des surplus; Faire des inscriptions dans les dossiers financiers
-> L2	Déterminer le nombre de boîtes à acheter, en se basant sur le nombre d’unités requis; Déterminer le nombre de travailleurs nécessaires ainsi que le temps requis pour terminer un travail, en se basant sur les taux de production par personne; Préparer des sommaires financiers simples
-> L3	Modifier les budgets et les horaires établis pour y incorporer de nouveaux renseignements; Comparer deux options ayant différentes structures de coûts
-> L4	Planifier et surveiller les horaires et les budgets pour de petits projets ou des projets à court terme; Vérifier les dossiers financiers afin de déterminer l’exactitude des écritures et l’utilisation appropriée des méthodes comptables
-> L5	Planifier et surveiller les horaires et les budgets pour de grands projets ou des projets à plusieurs étapes; Comparer des possibilités d’investissement à long terme sans connaître les taux de rendement futurs

S12	Informatique: L’utilisation de tout type de technologie informatique.
-> L1	Effectuer des tâches qui nécessitent uniquement une interaction de base avec de la machinerie ou de l’équipement informatisés (p. ex., entrer les codes fournis pour déverrouiller une pièce d’équipement, répondre à des diodes électroluminescentes [DEL] ); Utiliser uniquement quelques commandes de base, sans aucune connaissance du logiciel (p. ex., envoyer un courriel à une personne)
-> L2	Effectuer des tâches qui nécessitent l’usage de nombreuses fonctions logicielles simples (p. ex., formater une lettre); Utiliser un logiciel pour un nombre limité de fonctions en utilisant des structures établies ou des formats standard (p. ex., inscrire des données dans un formulaire fourni)
-> L3	Effectuer des tâches qui incluent plusieurs opérations et l’utilisation d’une gamme étendue de fonctions ou d’options logicielles (p. ex., formater des documents complexes, installer et configurer un logiciel); Effectuer divers types de tâches qui pourraient nécessiter de faire des essais afin d’atteindre les résultats désirés
-> L4	Effectuer des tâches complexes qui incluent plusieurs opérations et l’utilisation intensive de fonctions logicielles et qui peuvent inclure la sélection de logiciels et la liaison de plusieurs progiciels; Gérer un réseau informatique établi
-> L5	Effectuer des tâches qui incluent l’évaluation des besoins technologiques, la sélection des solutions informatiques et logicielles appropriées et l’évaluation des résultats; Concevoir, écrire et personnaliser des programmes informatiques pour des besoins précis; Concevoir et installer de nouveaux réseaux informatiques

S13	Utilisation des documents: L’utilisation d’étiquettes, de listes, d’affiches, de diagrammes, de tables, de tableaux, de formulaires et d’autres documents semblables.
-> L1	Utiliser un document dont le contenu et la structure sont simples (p. ex., affiche, étiquette, liste); Effectuer des recherches limitées d’information ou n’inscrire que quelques éléments d’information; Utiliser ou inscrire des renseignements uniquement dans la forme où ils se présentent (p. ex., inscrire dans une liste les renseignements trouvés tels quels)
-> L2	Utiliser un ou plusieurs documents qui sont du même type, dont la structure est simple et qui contiennent plusieurs éléments d’information (p. ex., tableaux simples); Utiliser un ou deux critères ou éléments afin d’orienter une recherche pour un ou plusieurs éléments d’information; Effectuer une analyse limitée (p. ex., réorganiser les renseignements afin de faire des comparaisons simples)
-> L3	Utiliser plusieurs documents qui peuvent être de différents types (p. ex., diagrammes, tableaux) et qui sont organisés de façon assez complexe (p. ex., en sections avec des sous-titres); Utiliser divers critères pour orienter une recherche d’information OU utiliser les résultats d’une recherche comme données initiales pour d’autres recherches; Analyser, choisir et intégrer les renseignements avant de les utiliser ou de les inscrire
-> L4	Utiliser plusieurs documents de différents types (p. ex., formulaires, tables, diagrammes) ou un document complexe qui présente de nombreux renseignements; Utiliser divers critères pour repérer plusieurs éléments d’information, en élaborant des critères au besoin, OU utiliser les résultats d’une recherche comme données initiales pour d’autres recherches; Synthétiser les renseignements tirés de diverses sources et en évaluer l’exactitude avant de les utiliser ou de les inscrire
-> L5	Utiliser plusieurs documents de différents types ou un document très complexe qui présente de nombreux renseignements; Utiliser divers critères pour repérer plusieurs éléments d’information, en élaborant des critères au besoin, OU utiliser les résultats d’une recherche comme données initiales pour d’autres recherches, en élaborant les critères de recherche au besoin; Évaluer les renseignements relativement à tous les aspects de la qualité, et en tirer des conclusions

S14	Rédaction: La préparation de documents écrits à diverses fins.
-> L1	Préparer de courts textes pour informer, rappeler ou organiser (p. ex., notes, listes); Utiliser un format établi ou aucun formatage, selon ce qui convient, pour présenter les documents
-> L2	Préparer des textes d’un ou de plusieurs paragraphes (p. ex., lettres, formulaires de comptes rendus) au sujet de questions courantes pour une variété de besoins (p. ex., renseigner, demander de l’information); Utiliser des modèles structurels, tels que des modèles de référence, pour présenter les documents
-> L3	Préparer des textes sur des questions moins courantes (p. ex., rapport, bail) pour une variété de besoins (p. ex., offrir des explications, exprimer une opinion, donner des directives); Utiliser des modèles structurels ou des modèles de référence plus complexes (p. ex., structure avec table des matières, en-têtes, notes en bas de page) pour présenter les documents
-> L4	Préparer des textes (p. ex., manuels) qui présentent des informations considérables dans un but précis (p. ex., analyser, comparer); Rassembler et choisir les informations appropriées pour un projet de rédaction OU transformer des documents écrits pour un public différent; Utiliser un format qui pourrait nécessiter des modifications; Préparer des textes pour un public spécifique
-> L5	Préparer des textes assez longs (p. ex., rapports de recherche) qui présentent une évaluation ou une analyse critique OU préparer des textes de toute longueur qui exigent de l’originalité et une présentation efficace; Synthétiser des informations tirées de diverses sources OU créer des documents originaux (p. ex., ouvrage de fiction); Utiliser une structure ou un format complexes pour présenter les documents (p. ex., structure avec sous-sections); Créer un ton ou une atmosphère appropriés

S15	Pensée Critique: Établir des jugements en se basant sur des critères pour évaluer des idées ou renseignements et les conséquences qui s'en suivent.
-> L1	les jugements sont fondés sur seulement quelques critères simples; les critères sont soit à portée de main soit faciles à trouver; les conséquences qui suivent le jugement sont de moindre importance
-> L2	les jugements sont fondés sur plusieurs critères bien définis; un effort s'impose pour choisir, organiser et évaluer les renseignements provenant d'une quantité limitée de sources; les conséquences qui suivent le jugement peuvent avoir un impact sur un individu et ceux qui l'entourent
-> L3	les jugements sont fondés sur des critères reflétant plusieurs points de vue et de multiples intérêts; un effort s'impose pour choisir, organiser et évaluer les renseignements provenant d'une quantité limitée de sources; les conséquences qui suivent le jugement sont majeures et elles peuvent avoir un impact sur une organisation ou même s'étendre au-delà de l'organisation
-> L4	les jugements sont fondés sur différents points de vue entrant quelquefois en conflit les uns avec les autres et sur les intérêts publiques; un effort important est nécessaire pour trouver, interpréter, organiser, synthétiser et évaluer les renseignements; les conséquences qui suivent le jugement sont majeures, elles sont typiquement à grande échelle et elles ont la possibilité d'avoir un impact sur plusieurs personnes et de multiples intérêts
